round,hv024,state,shdist,nfhs_district_name,matched_census_district,census_distid,census_source_year,match_score,match_source,reason
NFHS-2,15,meghalaya,2,EAST KHASI HILLS,Meghalaya,,1991,32.727272727272734,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-2,15,meghalaya,3,WEST KHASI HILLS,Meghalaya,,1991,31.999999999999996,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-2,15,meghalaya,5,WEST GARO HILLS,Meghalaya,,1991,33.75,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-2,15,meghalaya,4,EAST GORA HILLS,Meghalaya,,1991,33.333333333333336,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-2,16,mizoram,1,AIZAWL,Mizoram,,1991,46.15384615384615,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-2,16,mizoram,2,LUNGLEI,Mizoram,,1991,14.28571428571429,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-2,16,mizoram,3,CHHIMTUIPUI,Mizoram,,1991,30.000000000000004,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-2,17,nagaland,1,KOHIMA,Nagaland,,1991,14.28571428571429,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-2,17,nagaland,3,ZUNHEBOTO,Nagaland,,1991,11.764705882352944,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-2,17,nagaland,4,WOKHA,Nagaland,,1991,25.71428571428571,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-2,17,nagaland,2,PHEK,Nagaland,,1991,0.0,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-2,17,nagaland,6,TUENSANG,Nagaland,,1991,37.5,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-2,17,nagaland,5,MOKOKCHUNG,Nagaland,,1991,22.22222222222222,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-2,17,nagaland,7,MON,Nagaland,,1991,45.0,unresolved_no_source_data,no real district breakdown in census source (NE state)
NFHS-2,21,sikkim,1,NORTH DISTRICT,Sikkim,0.0,1991,30.000000000000004,fuzzy,low fuzzy match score
NFHS-2,21,sikkim,2,EAST DISTRICT,Sikkim,0.0,1991,31.57894736842105,fuzzy,low fuzzy match score
NFHS-2,21,sikkim,3,SOUTH DISTRICT,Sikkim,0.0,1991,30.000000000000004,fuzzy,low fuzzy match score
NFHS-2,21,sikkim,4,WEST DISTRICT,Sikkim,0.0,1991,31.57894736842105,fuzzy,low fuzzy match score
