district_code,district_name
602.0,Thiruvallur
603.0,Chennai
604.0,Kancheepuram
605.0,Vellore
606.0,Tiruvannamalai
607.0,Viluppuram
608.0,Salem
609.0,Namakkal
610.0,Erode
611.0,The Nilgiris
612.0,Dindigul
613.0,Karur
614.0,Tiruchirappalli
615.0,Perambalur
616.0,Ariyalur
617.0,Cuddalore
618.0,Nagapattinam
619.0,Thiruvarur
620.0,Thanjavur
621.0,Pudukkottai
622.0,Sivaganga
623.0,Madurai
624.0,Theni
625.0,Virudhunagar
626.0,Ramanathapuram
627.0,Thoothukkudi
628.0,Tirunelveli
629.0,Kanniyakumari
630.0,Dharmapuri
631.0,Krishnagiri
632.0,Coimbatore
633.0,Tiruppur
600.0,Kollam
599.0,Pathanamthitta
597.0,Kottayam
589.0,Kannur
598.0,Alappuzha
590.0,Wayanad
594.0,Thrissur
588.0,Kasaragod
592.0,Malappuram
596.0,Idukki
601.0,Thiruvananthapuram
593.0,Palakkad
591.0,Kozhikode
595.0,Ernakulam
463.0,Singrauli
450.0,Katni
439.0,Indore
435.0,Ujjain
461.0,Anuppur
445.0,Sehore
447.0,Betul
465.0,Alirajpur
441.0,Barwani
430.0,Rewa
453.0,Dindori
432.0,Neemuch
419.0,Morena
422.0,Datia
433.0,Mandsaur
444.0,Bhopal
442.0,Rajgarh
448.0,Harda
431.0,Umaria
456.0,Seoni
451.0,Jabalpur
427.0,Sagar
467.0,Burhanpur
421.0,Gwalior
459.0,Ashoknagar
425.0,Chhatarpur
460.0,Shahdol
457.0,Balaghat
434.0,Ratlam
424.0,Tikamgarh
449.0,Hoshangabad
446.0,Raisen
436.0,Shajapur
423.0,Shivpuri
466.0,Khandwa (East Nimar)
443.0,Vidisha
455.0,Chhindwara
438.0,Dhar
462.0,Sidhi
452.0,Narsimhapur
440.0,Khargone (West Nimar)
429.0,Satna
437.0,Dewas
458.0,Guna
420.0,Bhind
428.0,Damoh
464.0,Jhabua
418.0,Sheopur
454.0,Mandla
426.0,Panna
327.0,Darjiling
328.0,Jalpaiguri
329.0,Koch Bihar
330.0,Uttar Dinajpur
331.0,Dakshin Dinajpur
332.0,Maldah
333.0,Murshidabad
334.0,Birbhum
335.0,Barddhaman
336.0,Nadia
337.0,North Twenty Four Parganas
338.0,Hugli
339.0,Bankura
340.0,Puruliya
341.0,Haora
342.0,Kolkata
343.0,South Twenty Four Parganas
344.0,Paschim Medinipur
345.0,Purba Medinipur
56.0,Uttarkashi
57.0,Chamoli
58.0,Rudraprayag
59.0,Tehri Garhwal
60.0,Dehradun
61.0,Garhwal
62.0,Pithoragarh
63.0,Bageshwar
64.0,Almora
65.0,Champawat
66.0,Nainital
67.0,Udham Singh Nagar
68.0,Hardwar
132.0,Saharanpur
133.0,Muzaffarnagar
134.0,Bijnor
135.0,Moradabad
136.0,Rampur
137.0,Jyotiba Phule Nagar
138.0,Meerut
139.0,Baghpat
140.0,Ghaziabad
141.0,Gautam Buddha Nagar
142.0,Bulandshahr
143.0,Aligarh
144.0,Mahamaya Nagar
145.0,Mathura
146.0,Agra
147.0,Firozabad
148.0,Mainpuri
149.0,Budaun
150.0,Bareilly
151.0,Pilibhit
152.0,Shahjahanpur
153.0,Kheri
154.0,Sitapur
155.0,Hardoi
156.0,Unnao
157.0,Lucknow
158.0,Rae Bareli
159.0,Farrukhabad
160.0,Kannauj
161.0,Etawah
162.0,Auraiya
163.0,Kanpur Dehat
164.0,Kanpur Nagar
165.0,Jalaun
166.0,Jhansi
167.0,Lalitpur
168.0,Hamirpur
169.0,Mahoba
170.0,Banda
171.0,Chitrakoot
172.0,Fatehpur
173.0,Pratapgarh
174.0,Kaushambi
175.0,Allahabad
176.0,Bara Banki
177.0,Faizabad
178.0,Ambedkar Nagar
179.0,Sultanpur
180.0,Bahraich
181.0,Shrawasti
182.0,Balrampur
183.0,Gonda
184.0,Siddharth Nagar
185.0,Basti
186.0,Sant Kabir Nagar
187.0,Mahrajganj
188.0,Gorakhpur
189.0,Kushinagar
190.0,Deoria
191.0,Azamgarh
192.0,Mau
193.0,Ballia
194.0,Jaunpur
195.0,Ghazipur
196.0,Chandauli
197.0,Varanasi
198.0,Sant Ravidas Nagar (Bhadohi)
199.0,Mirzapur
200.0,Sonbhadra
201.0,Etah
202.0,Kanshiram Nagar
289.0,West Tripura
290.0,South Tripura
291.0,Dhalai
292.0,North Tripura
244.0,East District
241.0,North District
243.0,South District
242.0,West District
130.0,Udaipur
117.0,Sirohi
113.0,Jodhpur
121.0,Bundi
122.0,Bhilwara
119.0,Ajmer
110.0,Jaipur
128.0,Baran
111.0,Sikar
100.0,Hanumangarh
103.0,Jhunjhunun
120.0,Tonk
112.0,Nagaur
125.0,Banswara
108.0,Sawai Madhopur
101.0,Bikaner
106.0,Dhaulpur
105.0,Bharatpur
102.0,Churu
123.0,Rajsamand
114.0,Jaisalmer
104.0,Alwar
131.0,Pratapgarh
127.0,Kota
124.0,Dungarpur
115.0,Barmer
129.0,Jhalawar
126.0,Chittaurgarh
118.0,Pali
109.0,Dausa
116.0,Jalor
99.0,Ganganagar
107.0,Karauli
35.0,Gurdaspur
36.0,Kapurthala
37.0,Jalandhar
38.0,Hoshiarpur
39.0,Sangrur
40.0,Fatehgarh Sahib
41.0,Ludhiana
42.0,Moga
43.0,Firozpur
44.0,Muktsar
45.0,Faridkot
46.0,Bathinda
47.0,Mansa
48.0,Patiala
49.0,Amritsar
50.0,Tarn Taran
51.0,Rupnagar
52.0,Sahibzada Ajit Singh Nagar
53.0,Shahid Bhagat Singh Nagar
54.0,Barnala
637.0,Karaikal
634.0,Yanam
636.0,Mahe
635.0,Puducherry
395.0,Kalahandi
386.0,Khordha
383.0,Dhenkanal
391.0,Baudh
388.0,Ganjam
380.0,Jagatsinghapur
371.0,Jharsuguda
373.0,Debagarh
374.0,Sundargarh
382.0,Jajapur
389.0,Gajapati
394.0,Nuapada
377.0,Baleshwar
372.0,Sambalpur
375.0,Kendujhar
397.0,Nabarangapur
384.0,Anugul
399.0,Malkangiri
396.0,Rayagada
370.0,Bargarh
390.0,Kandhamal
398.0,Koraput
387.0,Puri
378.0,Bhadrak
381.0,Cuttack
376.0,Mayurbhanj
393.0,Balangir
392.0,Subarnapur
385.0,Nayagarh
379.0,Kendrapara
270.0,Kohima
268.0,Longleng
269.0,Kiphire
267.0,Tuensang
262.0,Mokokchung
265.0,Dimapur
261.0,Mon
264.0,Wokha
271.0,Peren
266.0,Phek
263.0,Zunheboto
285.0,Serchhip
288.0,Saiha
281.0,Mamit
284.0,Champhai
286.0,Lunglei
287.0,Lawngtlai
283.0,Aizawl
282.0,Kolasib
293.0,West Garo Hills
294.0,East Garo Hills
295.0,South Garo Hills
296.0,West Khasi Hills
297.0,Ribhoi
298.0,East Khasi Hills
299.0,Jaintia Hills
279.0,Ukhrul
278.0,Imphal East
277.0,Imphal West
273.0,Tamenglong
276.0,Thoubal
272.0,Senapati (Excluding 3 Sub-Divisions)
275.0,Bishnupur
280.0,Chandel
274.0,Churachandpur
526.0,Solapur
518.0,Mumbai Suburban
514.0,Jalna
523.0,Bid
520.0,Raigarh
510.0,Yavatmal
511.0,Nanded
498.0,Dhule
502.0,Washim
522.0,Ahmadnagar
512.0,Hingoli
527.0,Satara
507.0,Gondiya
500.0,Buldana
505.0,Nagpur
529.0,Sindhudurg
503.0,Amravati
524.0,Latur
531.0,Sangli
528.0,Ratnagiri
530.0,Kolhapur
509.0,Chandrapur
525.0,Osmanabad
513.0,Parbhani
499.0,Jalgaon
521.0,Pune
508.0,Gadchiroli
519.0,Mumbai
504.0,Wardha
497.0,Nandurbar
515.0,Aurangabad
506.0,Bhandara
516.0,Nashik
517.0,Thane
501.0,Akola
581.0,Kolar
571.0,Tumkur
578.0,Chamarajanagar
579.0,Gulbarga
568.0,Shimoga
569.0,Udupi
556.0,Bagalkot
560.0,Koppal
576.0,Kodagu
570.0,Chikmagalur
582.0,Chikkaballapura
565.0,Bellary
558.0,Bidar
563.0,Uttara Kannada
580.0,Yadgir
561.0,Gadag
574.0,Hassan
577.0,Mysore
583.0,Bangalore Rural
566.0,Chitradurga
557.0,Bijapur
562.0,Dharwad
575.0,Dakshina Kannada
555.0,Belgaum
584.0,Ramanagara
573.0,Mandya
564.0,Haveri
567.0,Davanagere
559.0,Raichur
572.0,Bangalore
366.0,Gumla
361.0,Ramgarh
358.0,Palamu
364.0,Ranchi
362.0,Dumka
355.0,Bokaro
356.0,Lohardaga
347.0,Chatra
351.0,Godda
357.0,Purbi Singhbhum
354.0,Dhanbad
349.0,Giridih
353.0,Pakur
368.0,Pashchimi Singhbhum
350.0,Deoghar
365.0,Khunti
369.0,Saraikela Kharsawan
346.0,Garhwa
367.0,Simdega
360.0,Hazaribagh
363.0,Jamtara
352.0,Sahibganj
348.0,Kodarma
359.0,Latehar
21.0,Jammu
15.0,Kulgam
20.0,Reasi
12.0,Pulwama
2.0,Badgam
5.0,Punch
14.0,Anantnag
13.0,Shupiyan
10.0,Srinagar
9.0,Bandipore
8.0,Baramula
6.0,Rajouri
16.0,Doda
1.0,Kupwara
19.0,Udhampur
7.0,Kathua
22.0,Samba
18.0,Kishtwar
11.0,Ganderbal
4.0,Kargil
17.0,Ramban
3.0,Leh
33.0,Shimla
34.0,Kinnaur
23.0,Chamba
27.0,Mandi
32.0,Sirmaur
30.0,Bilaspur
24.0,Kangra
26.0,Kullu
28.0,Hamirpur
31.0,Solan
29.0,Una
25.0,Lahul and Spiti
69.0,Panchkula
70.0,Ambala
71.0,Yamunanagar
72.0,Kurukshetra
73.0,Kaithal
74.0,Karnal
75.0,Panipat
76.0,Sonipat
77.0,Jind
78.0,Fatehabad
79.0,Sirsa
80.0,Hisar
81.0,Bhiwani
82.0,Rohtak
83.0,Jhajjar
84.0,Mahendragarh
85.0,Rewari
86.0,Gurgaon
87.0,Mewat
88.0,Faridabad
89.0,Palwal
468.0,Kachchh
469.0,Banaskantha
470.0,Patan
471.0,Mahesana
472.0,Sabarkantha
473.0,Gandhinagar
474.0,Ahmadabad
475.0,Surendranagar
476.0,Rajkot
477.0,Jamnagar
478.0,Porbandar
479.0,Junagadh
480.0,Amreli
481.0,Bhavnagar
482.0,Anand
483.0,Kheda
484.0,Panchmahal
485.0,Dohad
486.0,Vadodara
487.0,Narmada
488.0,Bharuch
489.0,The Dangs
490.0,Navsari
491.0,Valsad
492.0,Surat
493.0,Tapi
585.0,North Goa
586.0,South Goa
97.0,South West
91.0,North
92.0,North East
90.0,North West
94.0,New Delhi
98.0,South
93.0,East
96.0,West
95.0,Central
494.0,Diu
495.0,Daman
496.0,Dadra & Nagar Haveli
401.0,Surguja
411.0,Mahasamund
410.0,Raipur
404.0,Korba
400.0,Korea (Koriya)
417.0,Bijapur
412.0,Dhamtari
402.0,Jashpur
406.0,Bilaspur
409.0,Durg
414.0,Bastar
403.0,Raigarh
407.0,Kabirdham
413.0,Uttar Bastar Kanker
408.0,Rajnandgaon
416.0,Dakshin Bastar Dantewada
405.0,Janjgir - Champa
415.0,Narayanpur
55.0,Chandigarh
203.0,Pashchim Champaran
204.0,Purba Champaran
205.0,Sheohar
206.0,Sitamarhi
207.0,Madhubani
208.0,Supaul
209.0,Araria
210.0,Kishanganj
211.0,Purnia
212.0,Katihar
213.0,Madhepura
214.0,Saharsa
215.0,Darbhanga
216.0,Muzaffarpur
217.0,Gopalganj
218.0,Siwan
219.0,Saran
220.0,Vaishali
221.0,Samastipur
222.0,Begusarai
223.0,Khagaria
224.0,Bhagalpur
225.0,Banka
226.0,Munger
227.0,Lakhisarai
228.0,Sheikhpura
229.0,Nalanda
230.0,Patna
231.0,Bhojpur
232.0,Buxar
233.0,Kaimur (Bhabua)
234.0,Rohtas
235.0,Aurangabad
236.0,Gaya
237.0,Nawada
238.0,Jamui
239.0,Jehanabad
240.0,Arwal
323.0,Nalbari
315.0,Dima Hasao
321.0,Kamrup
322.0,Kamrup Metropolitan
311.0,Sivasagar
312.0,Jorhat
301.0,Dhubri
304.0,Morigaon
319.0,Bongaigaon
313.0,Golaghat
325.0,Darrang
309.0,Tinsukia
303.0,Barpeta
307.0,Lakhimpur
306.0,Sonitpur
300.0,Kokrajhar
316.0,Cachar
305.0,Nagaon
318.0,Hailakandi
326.0,Udalguri
324.0,Baksa
310.0,Dibrugarh
314.0,Karbi Anglong
320.0,Chirang
302.0,Goalpara
317.0,Karimganj
308.0,Dhemaji
245.0,Tawang
246.0,West Kameng
247.0,East Kameng
248.0,Papumpare
249.0,Upper Subansiri
250.0,West Siang
251.0,East Siang
252.0,Upper Siang
253.0,Changlang
254.0,Tirap
255.0,Lower Subansiri
256.0,Kurung Kumey
257.0,Dibang Valley
258.0,Lower Dibang Valley
259.0,Lohit
260.0,Anjaw
553.0,Anantapur
547.0,Krishna
552.0,Kurnool
544.0,Visakhapatnam
545.0,East Godavari
554.0,Chittoor
542.0,Srikakulam
546.0,West Godavari
550.0,Sri Potti Sriramulu Nellore
551.0,Y.S.R.
543.0,Vizianagaram
549.0,Prakasam
548.0,Guntur
640.0,South Andaman
638.0,Nicobars
639.0,North & Middle Andaman
532.0,Adilabad
533.0,Nizamabad
534.0,Karimnagar
535.0,Medak
536.0,Hyderabad
537.0,Rangareddy
538.0,Mahbubnagar
539.0,Nalgonda
540.0,Warangal
541.0,Khammam
587.0,Lakshadweep
