round,hv024,state,shdist,nfhs_district_name,matched_census_district,census_distid,census_source_year,match_score,match_source,district_uid
NFHS-1,3,assam,7,Kamrup,Kamrup,7,1991,100.0,fuzzy,assam_7
NFHS-1,3,assam,9,Sonitpur,Sonitpur,9,1991,100.0,fuzzy,assam_9
NFHS-1,3,assam,9,Sonitpur,Sonitpur,9,1991,100.0,fuzzy,assam_9
NFHS-1,3,assam,10,Lakhimpur,Lakhimpur,10,1991,100.0,fuzzy,assam_10
NFHS-1,3,assam,10,Lakhimpur,Lakhimpur,10,1991,100.0,fuzzy,assam_10
NFHS-1,3,assam,11,Dhemaji,Dhemaji,11,1991,100.0,fuzzy,assam_11
NFHS-1,3,assam,11,Dhemaji,Dhemaji,11,1991,100.0,fuzzy,assam_11
NFHS-1,3,assam,12,Marigaon,Marigaon,12,1991,100.0,fuzzy,assam_12
NFHS-1,3,assam,12,Marigaon,Marigaon,12,1991,100.0,fuzzy,assam_12
NFHS-1,3,assam,13,Nagaon,Nagaon,13,1991,100.0,fuzzy,assam_13
NFHS-1,3,assam,13,Nagaon,Nagaon,13,1991,100.0,fuzzy,assam_13
NFHS-1,3,assam,14,Golaghat,Golaghat,14,1991,100.0,fuzzy,assam_14
NFHS-1,3,assam,14,Golaghat,Golaghat,14,1991,100.0,fuzzy,assam_14
NFHS-1,3,assam,15,Jorhat,Jorhat,15,1991,100.0,fuzzy,assam_15
NFHS-1,3,assam,15,Jorhat,Jorhat,15,1991,100.0,fuzzy,assam_15
NFHS-1,3,assam,16,Sibsagar,Sibsagar,16,1991,100.0,fuzzy,assam_16
NFHS-1,3,assam,16,Sibsagar,Sibsagar,16,1991,100.0,fuzzy,assam_16
NFHS-1,3,assam,18,Tinsukia,Tinsukia,18,1991,100.0,fuzzy,assam_18
NFHS-1,3,assam,18,Tinsukia,Tinsukia,18,1991,100.0,fuzzy,assam_18
NFHS-1,3,assam,19,Karbi Anglong,Karbi Anglong,19,1991,100.0,fuzzy,assam_19
NFHS-1,3,assam,19,Karbi Anglong,Karbi Anglong,19,1991,100.0,fuzzy,assam_19
NFHS-1,3,assam,21,Karimganj,Karimganj,21,1991,100.0,fuzzy,assam_21
NFHS-1,3,assam,21,Karimganj,Karimganj,21,1991,100.0,fuzzy,assam_21
NFHS-1,3,assam,22,Hailakandi,Hailakandi,22,1991,100.0,fuzzy,assam_22
NFHS-1,3,assam,22,Hailakandi,Hailakandi,22,1991,100.0,fuzzy,assam_22
NFHS-1,3,assam,23,Cachar,Cachar,23,1991,100.0,fuzzy,assam_23
NFHS-1,3,assam,23,Cachar,Cachar,23,1991,100.0,fuzzy,assam_23
NFHS-1,3,assam,17,Dibrugarh,Dibrugarh,17,1991,100.0,fuzzy,assam_17
